[dotenv@17.2.3] injecting env (6) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
==============================================
DATABASE CONNECTION: D:\Z-ON DOOR 2024\zon app\server\database.sqlite
==============================================
Database connected and schema updated.
>>> SERVER RESTART: Stock Logic v2 is ACTIVE <<<
Server is running on port 5000
[2026-06-16T08:20:32.197Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:21:31.977Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:21:31.978Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:21:32.412Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:22:31.661Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:22:31.667Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:22:32.084Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:23:31.652Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:23:31.653Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:23:32.064Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:24:31.976Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:24:31.977Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:24:32.512Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:25:31.657Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:25:31.661Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:25:32.109Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:26:31.661Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:26:31.662Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:26:32.081Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:27:31.972Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:27:31.973Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:27:32.482Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:28:31.650Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:28:31.668Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:28:32.113Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:29:31.650Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:29:31.652Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:29:32.029Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:30:31.968Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:30:31.970Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:30:32.425Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:31:31.655Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:31:31.666Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:31:32.121Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:32:31.651Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:32:31.658Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:32:32.083Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:33:31.963Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:33:31.964Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:33:32.405Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:34:31.661Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:34:31.662Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:34:32.265Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:35:31.652Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:35:31.741Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:35:32.199Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:36:31.662Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:36:31.663Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
